Tri   ,Année   ,Périmètre juridique ,Legal perimeter ,Périmètre spatial             ,country                  ,Filière        ,Sector                   ,Type d'énergie ,Type of energy ,Production            ,Unité ,Méthode de consolidation ,Consolidation method ,city             ,lat      ,lng     ,population ,alpha-2 ,alpha-3 ,country-code ,iso_3166-2    ,region   ,sub-region                      ,intermediate-region ,region-code ,sub-region-code ,intermediate-region-code
 15.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,    43.6325           ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
110.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,  2037.8922           ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
111.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,    47.879            ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
247.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,  2104.438            ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
261.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,    46.024            ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
346.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,  1932.182            ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
361.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Canada                        ,Canada                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,    58.3817539074     ,GWh   ,Nette                    ,Net                  ,Toronto          ,43.7     ,-79.42  , 5213000.0 ,CA      ,CAN     ,       124.0 ,ISO 3166-2:CA ,Americas ,Northern America                ,                    ,        019 ,            021 ,                      
16.0 ,20220.0 ,Groupe EDF           ,EDF group       ,République populaire de Chine ,China                    ,Nucléaire      ,Nuclear                  ,Électrique     ,Electric       ,  3723.3              ,GWh   ,Nette                    ,Net                  ,                 ,         ,        ,           ,CN      ,CHN     ,       156.0 ,ISO 3166-2:CN ,Asia     ,Eastern Asia                    ,                    ,        142 ,            030 ,                      
17.0 ,20220.0 ,Groupe EDF           ,EDF group       ,République populaire de Chine ,China                    ,Charbon        ,Coal                     ,Électrique     ,Electric       ,  8274.8603           ,GWh   ,Nette                    ,Net                  ,                 ,         ,        ,           ,CN      ,CHN     ,       156.0 ,ISO 3166-2:CN ,Asia     ,Eastern Asia                    ,                    ,        142 ,            030 ,                      
18.0 ,20220.0 ,Groupe EDF           ,EDF group       ,République populaire de Chine ,China                    ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,   995.5147601        ,GWh   ,Nette                    ,Net                  ,                 ,         ,        ,           ,CN      ,CHN     ,       156.0 ,ISO 3166-2:CN ,Asia     ,Eastern Asia                    ,                    ,        142 ,            030 ,                      
19.0 ,20220.0 ,Groupe EDF           ,EDF group       ,République populaire de Chine ,China                    ,Solaire        ,Solar                    ,Électrique     ,Electric       ,   122.21948          ,GWh   ,Nette                    ,Net                  ,                 ,         ,        ,           ,CN      ,CHN     ,       156.0 ,ISO 3166-2:CN ,Asia     ,Eastern Asia                    ,                    ,        142 ,            030 ,                      
20.0 ,20220.0 ,Groupe EDF           ,EDF group       ,République populaire de Chine ,China                    ,Biomasse       ,Biomass                  ,Électrique     ,Electric       ,     5.25             ,GWh   ,Nette                    ,Net                  ,                 ,         ,        ,           ,CN      ,CHN     ,       156.0 ,ISO 3166-2:CN ,Asia     ,Eastern Asia                    ,                    ,        142 ,            030 ,                      
