Tri,Année,Périmètre juridique,Legal perimeter,Périmètre spatial,country,Filière,Sector,Type d'énergie,Type of energy,Production,Unité ,Méthode de consolidation,Consolidation method,city,lat,lng,population
288.0,20200.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Chaleur,Heat,170.693054642,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
328.0,20190.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Électrique,Electric,22.3373743988,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
363.0,20190.0,Groupe EDF,EDF group,Espagne,Spain,Solaire,Solar,Électrique,Electric,0.14995888605,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
387.0,20190.0,Groupe EDF,EDF group,Espagne,Spain,Gaz,Gas,Chaleur,Heat,20.4557295,GWh,Nette,Net,Madrid,40.4,-3.6834,5567000.0
24.0,20220.0,Groupe EDF,EDF group,France,France,Nucléaire,Nuclear,Électrique,Electric,278959.718,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
25.0,20220.0,Groupe EDF,EDF group,France,France,Charbon,Coal,Électrique,Electric,1703.49496,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
26.0,20220.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Électrique,Electric,5390.03786204645,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
27.0,20220.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Électrique,Electric,11927.69618366,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
28.0,20220.0,Groupe EDF,EDF group,France,France,Hydraulique,Hydraulic,Électrique,Electric,33999.2257128562,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
29.0,20220.0,Groupe EDF,EDF group,France,France,Éolienne,Wind,Électrique,Electric,3598.62006526509,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
30.0,20220.0,Groupe EDF,EDF group,France,France,Solaire,Solar,Électrique,Electric,525.600918499999,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
31.0,20220.0,Groupe EDF,EDF group,France,France,Géothermie,Geothermal,Électrique,Electric,3.487984,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
32.0,20220.0,Groupe EDF,EDF group,France,France,Biomasse,Biomass,Électrique,Electric,867.85049882,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
33.0,20220.0,Groupe EDF,EDF group,France,France,Énergie marine,Marine energy,Électrique,Electric,548.784,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
34.0,20220.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Chaleur,Heat,231.0295005791,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
35.0,20220.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Chaleur,Heat,13283.3729166654,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
36.0,20220.0,Groupe EDF,EDF group,France,France,Divers,Various,Chaleur,Heat,15.676611026416,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
37.0,20220.0,Groupe EDF,EDF group,France,France,Autres ENR,Other Renewable Energies,Chaleur,Heat,8731.28640905511,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
120.0,20210.0,Groupe EDF,EDF group,France,France,Nucléaire,Nuclear,Électrique,Electric,354394.205,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
121.0,20210.0,Groupe EDF,EDF group,France,France,Charbon,Coal,Électrique,Electric,3097.606,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
122.0,20210.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Électrique,Electric,5218.7929,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
