Tri ;Année ;Périmètre juridique ;Legal perimeter ;Périmètre spatial             ;country                    ;Filière        ;Sector                   ;Type d'énergie ;Type of energy ;Production            ;Unité ;Méthode de consolidation ;Consolidation method
129 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Énergie marine ;Marine energy            ;Électrique     ;Electric       ;   543.049            ;GWh   ;Nette                    ;Net
130 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Divers         ;Various                  ;Électrique     ;Electric       ;   118.988564         ;GWh   ;Nette                    ;Net
131 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;    15.6710738195347  ;GWh   ;Nette                    ;Net
132 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;   221.085093684972   ;GWh   ;Nette                    ;Net
133 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Gaz            ;Gas                      ;Chaleur        ;Heat           ; 14597.6366149675     ;GWh   ;Nette                    ;Net
134 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Divers         ;Various                  ;Chaleur        ;Heat           ;   374.620492381667   ;GWh   ;Nette                    ;Net
135 ; 2021 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;  7848.24067660148    ;GWh   ;Nette                    ;Net
136 ; 2021 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Gaz            ;gas                      ;Électrique     ;Electric       ;  1834.07063205       ;GWh   ;Nette                    ;Net
137 ; 2021 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   509.05868721103    ;GWh   ;Nette                    ;Net
138 ; 2021 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    18.578882         ;GWh   ;Nette                    ;Net
139 ; 2021 ;Groupe EDF          ;EDF group       ;Inde                          ;India                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   513.8141           ;GWh   ;Nette                    ;Net
140 ; 2021 ;Groupe EDF          ;EDF group       ;Inde                          ;India                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   275.64825675       ;GWh   ;Nette                    ;Net
